industry,company_name,x,y,employee_number,sales,recommendation
Finance,ukf,479.85,663.98,2582,840999.78,1
Education,wzdkfp,603.21,808.76,72,372515.92,1
Construction,fhmrx,222.53,499.65,6794,538705.11,1
Agricultural,qjzl,866.8,340.53,5636,404566.79,1
Construction,jkw,421.57,763.4,7143,798970.72,1
Manufacturing,mqvbzh,487.88,42.86,1789,851246.38,1
Finance,dvcu,288.37,37.86,4706,748939.57,1
Mining,rtnh,793.45,74.32,8379,150655.66,1
Finance,ccwpot,954.34,923.54,9354,428852.43,1
Mining,pkluesn,125.58,130.48,7966,899129.39,1
Finance,docqvhp,505.39,287.96,2775,48813.0,1
Mining,tvkldkz,757.56,572.05,5295,181992.32,1
Finance,wpiooxj,741.26,542.58,9576,872485.46,1
Construction,sjas,622.37,810.7,869,227864.51,1
Agricultural,phd,642.85,717.38,4266,2688.21,1
Education,dhzqrm,561.73,471.53,2222,907476.23,1
Manufacturing,tlz,780.56,697.73,5381,672180.47,1
Education,posybu,583.97,788.65,3295,719880.3,1
Manufacturing,zmm,953.7,221.28,3585,358281.13,1
Education,eaape,535.4,455.78,9900,26273.45,1
Construction,eitai,843.8,407.13,5450,762288.62,1
Mining,tui,531.67,738.59,4383,24963.27,1
Finance,lvqltvs,183.41,398.34,3646,912925.45,1
Agricultural,fzaikz,400.05,469.21,2452,975498.31,1
Agricultural,qnum,248.54,459.81,2722,55464.1,1
Mining,zdqfxx,577.46,348.95,3242,513001.33,1
Education,xwl,611.58,354.06,5950,488015.13,1
Finance,uobgulq,451.19,643.89,7154,276947.45,1
Mining,axrfs,733.92,558.55,848,56177.78,1
Finance,lbiisef,320.68,135.8,5806,190235.1,1
Education,zjmmziv,148.41,356.51,4989,349628.17,1
Education,mgim,867.01,671.38,2216,305091.1,1
Finance,jek,78.07,984.75,3241,738517.45,1
Finance,jqzlrcg,317.08,356.68,3294,346352.04,1
Agricultural,cbdw,414.44,17.18,9691,126278.52,1
Education,gcvvfto,62.3,125.95,7854,542585.36,1
Mining,bacs,833.01,110.14,3307,402850.97,1
Manufacturing,pwcqons,244.69,147.07,6224,133953.2,1
Agricultural,qsbtu,46.94,804.91,4646,128379.57,1
Construction,uedj,3.64,303.53,6113,62296.71,1
Agricultural,bdr,640.78,346.99,1338,983917.6,1
Manufacturing,gax,741.7,726.58,3605,594338.97,1
Finance,ytvcpp,506.68,198.19,5711,692096.07,1
Manufacturing,rqxe,543.22,327.53,5695,712463.17,1
Manufacturing,fouqdxt,60.48,940.21,443,775594.74,1
Education,uygoqf,333.25,44.57,8805,965864.4,1
Construction,xoosvxq,393.95,908.38,4563,262885.95,1
Finance,yvdxw,638.58,636.28,3643,799533.62,1
Finance,msrfrh,18.12,530.52,5164,947130.51,1
Construction,rmvn,134.52,941.5,2224,709844.56,1
Construction,nbk,108.4,181.11,4076,24490.85,1
Manufacturing,sep,605.26,83.16,8168,555874.25,1
Education,waqqje,843.82,570.89,9709,238439.87,1
Mining,vxwixz,437.84,90.15,9080,463231.07,1
Education,msy,390.18,311.53,8240,251715.57,1
Agricultural,tvs,310.48,603.98,8499,508724.68,1
Manufacturing,tbwwjm,622.38,500.97,4730,237131.6,1
Mining,bqqzzkj,494.89,446.12,786,536639.44,1
Education,jaryhal,882.91,852.12,4591,46922.77,1
Mining,fxszfh,572.8,676.12,9729,237193.31,1
Construction,osmdz,523.21,216.29,7291,582055.84,1
Education,fav,864.86,994.98,9848,988074.83,1
Finance,hnxd,154.86,531.04,6966,621069.89,1
Education,clsnic,349.72,635.15,6281,423669.03,1
Education,ojbaegm,856.3,116.22,8156,255496.06,1
Agricultural,mdk,360.76,853.3,7069,653427.14,1
Education,zuv,621.57,413.7,567,497482.96,1
Education,vph,97.48,586.95,8583,456694.2,1
Mining,ymklmo,651.77,836.16,3320,296461.13,1
Mining,xuttbaj,156.01,950.64,4536,22872.04,1
Construction,nypzju,193.46,500.93,3466,825742.29,1
Finance,vpwjqb,733.65,373.96,1123,415174.03,1
Education,tguvv,458.58,922.89,99,471593.48,1
Education,dfsyd,292.63,357.48,6165,723191.38,1
Mining,kanyn,90.74,962.79,6190,100857.13,1
Mining,nggqw,722.65,7.81,1613,632293.34,1
Education,nmzw,579.46,653.86,6004,684892.62,1
Mining,nkt,477.31,944.12,607,578550.88,1
Construction,rmhw,832.71,963.93,7590,803782.85,1
Finance,jdfw,323.68,557.3,3780,675595.63,1
Manufacturing,kjr,345.89,333.23,9659,834437.52,1
Mining,xyfixok,471.55,252.59,3614,878535.92,1
Education,mdaupzh,750.48,60.68,1005,859511.43,1
Finance,gti,609.31,457.08,9374,632321.61,1
Education,rwnnka,958.11,333.49,9330,161949.49,1
Education,psc,283.73,264.59,2251,366877.69,1
Agricultural,ekvouzh,160.22,849.56,7657,285369.35,1
Construction,pyskq,971.03,419.04,2958,483808.45,1
Education,phcxqj,619.83,544.0,988,895778.49,1
Education,hsiaz,247.56,665.68,2497,464686.77,1
Education,zaaezxt,882.41,460.21,7619,997326.01,1
Construction,eiojxke,942.01,426.16,8074,428629.49,1
Construction,wufss,465.73,273.4,4285,249332.03,1
Finance,wttmlqc,676.0,55.27,3761,341867.57,1
Education,jcy,474.74,576.57,1640,563462.67,1
Education,xwctwik,285.54,171.12,3286,963489.74,1
Mining,sdur,653.95,59.9,3231,894989.37,1
Manufacturing,xyriv,452.27,806.19,2249,882420.29,1
Agricultural,keki,280.59,616.48,1915,460164.45,1
Manufacturing,reqebf,376.82,975.02,6737,705220.07,1
