勤務地はどこを希望しますか？,未選択,北海道,東北,関東,中部,近畿,中国,九州,沖縄
大学生活で最も力を入れたものは，この中では何ですか？,未選択,研究活動,勉学,ゼミ活動,アルバイト,サークル活動,留学,,
休日はどのように過ごすことが多いですか？,未選択,一人で過ごすことが多い,どちらかというと一人で過ごすことが多い,どちらかというと友達と過ごすことが多い,友達と過ごすことが多い,,,,
友達が遅刻した時，何分までなら待てますか？,未選択,待てない,10分まで,30分まで,1時間まで,1時間以上,,,
どの程度のプログラミング歴がありますか？,未選択,未経験,2年以下,5年以下,8年以下,8年以上,,,
どの程度の英語力がありますか？,未選択,全く話せない,日常会話レベル,ビジネス会話レベル,ネイティブレベル,,,,
TOEICの点数は何点ですか？,未選択,600点未満,600点以上700点未満,700点以上800点未満,800点以上900点未満,900点以上,,,
あなたが最も自信がある能力は以下の中ではどれですか？,未選択,リーダーシップを発揮する能力,粘り強くやり抜く能力,相手の立場になって考える能力,社交的に関わる能力,,,,
あなたが最も自信がない能力は以下の中ではどれですか？,未選択,リーダーシップを発揮する能力,粘り強くやり抜く能力,相手の立場になって考える能力,社交的に関わる能力,,,,
最も得意な科目は以下の中ではどれですか？,未選択,数学,国語,英語,理科,社会,,,
最も苦手な科目は以下の中ではどれですか？,未選択,数学,国語,英語,理科,社会,,,
好きな食べ物は食事中のどのタイミングで食べますか？,未選択,常に最初に食べる,どちらかというと最初に食べる,どちらかというと最後に食べる,最後に食べる,,,,
あなたの性格に最も当てはまるものを選んでください,未選択,温厚な性格,情熱を持っている性格,怒りっぽい性格,几帳面な性格,,,,
嫌いな人とどう接していますか？,未選択,嫌いな人はいない,できる限り避ける,分け隔てなく接する,,,,,
大学で得た最大の能力は何ですか？,未選択,学力,コミュニケーション能力,研究力,リーダーシップ,分け隔てなく接する能力,語学力,,
